inputSort,type,loopVersion,nSize,rate
random,int,A,1000000,4.64615e+09
random,int,A,10000000,3.88105e+09
random,int,A,100000000,3.9819e+09
random,double,A,1000000,2.37733e+09
random,double,A,10000000,2.38896e+09
random,double,A,100000000,2.38419e+09
random,int,B,1000000,3.70656e+09
random,int,B,10000000,3.80229e+09
random,int,B,100000000,3.97911e+09
random,double,B,1000000,4.77832e+09
random,double,B,10000000,4.77191e+09
random,double,B,100000000,4.71608e+09
increasing,int,A,1000000,4.70835e+09
increasing,int,A,10000000,3.66737e+09
increasing,int,A,100000000,3.86797e+09
reverse,int,A,1000000,4.8937e+09
reverse,int,A,10000000,3.78801e+09
reverse,int,A,100000000,3.95468e+09
reverse,double,A,1000000,4.94081e+09
reverse,double,A,10000000,4.79525e+09
reverse,double,A,100000000,4.80149e+09
increasing,double,A,1000000,4.94584e+09
increasing,double,A,10000000,4.7467e+09
increasing,double,A,100000000,4.76253e+09
increasing,int,B,1000000,4.58849e+09
increasing,int,B,10000000,3.92971e+09
increasing,int,B,100000000,4.01624e+09
reverse,int,B,1000000,4.86511e+09
reverse,int,B,10000000,3.91314e+09
reverse,int,B,100000000,3.92436e+09
increasing,double,B,1000000,4.83354e+09
increasing,double,B,10000000,4.81902e+09
increasing,double,B,100000000,4.67454e+09
reverse,double,B,1000000,4.92047e+09
reverse,double,B,10000000,4.71956e+09
reverse,double,B,100000000,4.72164e+09
bandwidth,double,B,256,4.7817e+09
bandwidth,double,B,512,4.87968e+09
bandwidth,double,B,1024,4.93316e+09
bandwidth,double,B,2048,4.96365e+09
bandwidth,double,B,4096,4.97752e+09
bandwidth,double,B,8192,4.98036e+09
bandwidth,double,B,16384,4.98231e+09
bandwidth,double,B,32768,4.93101e+09
bandwidth,double,B,65536,4.96275e+09
bandwidth,double,B,131072,4.93671e+09
bandwidth,double,B,262144,4.93181e+09
bandwidth,double,B,524288,4.88124e+09
bandwidth,double,B,1048576,4.80718e+09
bandwidth,double,B,2097152,4.70842e+09
bandwidth,double,B,4194304,4.68027e+09
bandwidth,double,B,8388608,4.73057e+09
bandwidth,double,B,16777216,4.69521e+09
bandwidth,double,B,33554432,4.5262e+09
