loopVersion,MKN,rate
IJK,256x256x256,1.48104e+09
IKJ,256x256x256,3.00096e+09
JIK,256x256x256,1.55879e+09
JKI,256x256x256,5.14469e+08
KIJ,256x256x256,3.07392e+09
KJI,256x256x256,5.21635e+08
IJK,512x512x512,1.65391e+09
IKJ,512x512x512,3.15342e+09
JIK,512x512x512,1.61693e+09
JKI,512x512x512,4.63622e+08
KIJ,512x512x512,3.11712e+09
KJI,512x512x512,4.66648e+08
IJK,1024x1024x1024,5.54956e+08
IKJ,1024x1024x1024,3.21689e+09
JIK,1024x1024x1024,5.65656e+08
JKI,1024x1024x1024,2.15939e+08
KIJ,1024x1024x1024,3.14091e+09
KJI,1024x1024x1024,2.18061e+08
IJK,256x512x1024,1.03593e+09
IKJ,256x512x1024,3.14909e+09
JIK,256x512x1024,1.01158e+09
JKI,256x512x1024,4.13462e+08
KIJ,256x512x1024,3.2446e+09
KJI,256x512x1024,4.16311e+08
